model,noise_level,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_repeats
Decision Tree,0.0,1.0,0.0,1.0,0.0,5
Decision Tree,0.01,0.9996378998189499,0.00029565355978071364,0.9996033840083088,0.0003238356011571662,5
Decision Tree,0.03,0.9995171997585999,0.00024140012070006375,0.999471178677745,0.0002644106611275011,5
Decision Tree,0.05,0.9967410983705491,0.0002956535597807137,0.996435434874118,0.00031779208574159374,5
Decision Tree,0.1,0.9461677730838867,0.0038244971678345835,0.9447181942916604,0.003807060219504169,5
Decision Tree,0.2,0.8263126131563066,0.00770403060819937,0.8386636050766165,0.007423206236582886,5
Decision Tree,0.3,0.7501508750754375,0.012670632199889632,0.7640473842296978,0.010213849954349017,5
Random Forest,0.0,1.0,0.0,1.0,0.0,5
Random Forest,0.01,1.0,0.0,1.0,0.0,5
Random Forest,0.03,1.0,0.0,1.0,0.0,5
Random Forest,0.05,1.0,0.0,1.0,0.0,5
Random Forest,0.1,0.9991550995775498,0.0006154519630166393,0.9990762315348831,0.0006719098367229948,5
Random Forest,0.2,0.967652383826192,0.004086013489393043,0.9667710922034518,0.003981542615818945,5
Random Forest,0.3,0.9157513578756789,0.004715033188804963,0.9183239342905122,0.003924107221980391,5
SVM,0.0,1.0,0.0,1.0,0.0,5
SVM,0.01,1.0,0.0,1.0,0.0,5
SVM,0.03,1.0,0.0,1.0,0.0,5
SVM,0.05,1.0,0.0,1.0,0.0,5
SVM,0.1,1.0,0.0,1.0,0.0,5
SVM,0.2,0.9942063971031985,0.0016461293538908637,0.9937212084357784,0.0017677221242059764,5
SVM,0.3,0.9729631864815932,0.003039149864095146,0.9717377355519556,0.0028848605722545293,5
MLP Neural Network,0.0,1.0,0.0,1.0,0.0,5
MLP Neural Network,0.01,1.0,0.0,1.0,0.0,5
MLP Neural Network,0.03,0.99987929993965,0.00024140012070006375,0.9997903563941299,0.00041928721174002705,5
MLP Neural Network,0.05,0.99987929993965,0.00024140012070006375,0.9997903563941299,0.00041928721174002705,5
MLP Neural Network,0.1,0.9993964996982498,0.0006611014574594736,0.999028797589966,0.0010096148890073005,5
MLP Neural Network,0.2,0.9932407966203984,0.0016372552765541012,0.9906089681793571,0.002472827414359062,5
MLP Neural Network,0.3,0.976222088111044,0.0006154519630166393,0.968604230583297,0.0006975976854350219,5
